5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
1.474616404619089570e-02,7.195586706429567270e-02,5.826321274328041810e-02,2.388627236849051247e-02,1.468035433418707694e-02,1.675438580075822720e-02,5.683906254429422350e-02,1.074462302546604908e-01,3.965084696591415075e-02,9.090909442391562068e-03,1.825524506385233295e-02,9.941507221809215561e-03,2.348484228539503629e-02,3.274418611257483291e-02,1.251731569955060776e-02,4.292208165583245860e-02,1.140262755895160747e-02,7.038046896606529879e-02,1.466235687132077734e-02
3.363401965483192591e-02,1.020987446116242564e-01,2.180377908249832297e-02,4.813596729215864622e-02,7.915682528904188081e-03,4.242918973191417246e-03,7.169081593495514604e-02,1.111236610469136382e-01,9.008380413904820000e-03,2.310591728870108399e-02,6.295498328896624411e-03,6.244746511028109737e-02,1.015860182116485183e-01,1.303502313836587059e-02,2.032574838499330225e-02,1.589710613345794721e-01,1.047781439712526172e-02,2.485825652338089636e-02,1.480706947944904553e-02
2.168423184061275127e-02,2.224104896480107521e-02,7.030646637877004113e-02,2.563599995574743565e-02,2.326939510312535722e-02,1.775669459055433108e-02,5.541158483502556242e-02,2.334338494642291401e-02,3.229868005858402280e-02,4.654138834511354489e-02,2.665773699510678649e-02,5.594730295057807890e-02,2.040275717989765286e-02,7.160233686944579568e-02,1.614553440556297167e-02,1.313133519317511155e-01,2.661858538759918555e-02,1.028348554168456198e-02,4.955128913713781336e-02
4.068822150255164971e-02,6.094748635121624222e-03,3.568407280080949928e-02,6.553100685210731975e-03,1.838927566165460617e-02,1.667291305441867544e-03,5.082504856768432777e-02,5.209948137173868454e-03,4.680138634450254492e-02,1.044184829263162390e-02,4.268721320821240728e-02,8.604806138656046280e-03,1.392380987295727991e-02,1.572724564116796328e-02,1.780722950096488497e-02,4.042300554331417634e-02,3.111050147000845277e-03,6.353651086850060914e-02,1.559317086408460416e-02
4.405993857481850517e-02,3.219114545429001360e-03,2.738946890069023088e-02,1.927558688698489606e-02,2.160817499439532385e-02,7.858782271557807411e-03,7.221549462607181058e-02,8.570514312996142456e-03,5.687726786779376958e-02,1.438234466360020086e-02,3.642186902090210898e-02,1.170282738860956538e-02,3.429053069200603543e-02,2.878333311835165956e-02,1.442450681276953584e-02,6.875537441243483039e-02,4.458116734761034816e-03,6.696472858118712734e-02,3.068248121337257064e-02
4.619954893809539304e-02,2.329030940343190196e-03,2.065097687482082139e-02,2.468663928359434920e-02,2.617502301858100344e-02,1.045169553944894081e-02,7.643154090668208278e-02,8.655044093486181228e-03,5.962216978374210857e-02,1.571147975141800462e-02,3.383487037287530308e-02,1.220799739170431303e-02,3.737866700645633283e-02,2.758017903384089517e-02,1.454690354448579838e-02,6.399377534572621429e-02,3.847983487599381143e-03,7.102036905725084281e-02,3.007110159536782734e-02
4.621307612400547826e-02,2.660335426289983131e-03,2.293060316808361379e-02,2.119769973969962140e-02,2.382398373650467319e-02,8.858051279256573193e-03,7.613126654911706037e-02,8.879828352932975580e-03,5.854519553386024894e-02,1.504297830459401866e-02,3.495796897484009652e-02,1.219122640762772790e-02,3.582417421385696715e-02,2.827998256303758742e-02,1.469252532346477548e-02,6.757959033493399215e-02,4.324194339290305875e-03,6.749413094601379448e-02,3.047959321259076718e-02
