Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
2.400390022957405584e-02,8.474697583511267007e-01,8.856907481579466834e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.446263657863492452e-02,8.128437220457784829e-01,9.453315964704629426e-01,2.827131294543409196e-02,9.226482590608325873e-02,9.882823081070794824e-02,9.593453703248865094e-02
1.991302582061077117e-02,7.924025900003452971e-01,9.070968984021327008e-01,1.167924463636771642e-03,6.327486998385827358e-03,6.911114792195176097e-03,6.725847789043212788e-03
2.224211827308608114e-01,8.366339581211813536e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.762624143195428650e-02,8.093722828021874260e-01,9.995381250592583200e-01,7.238466058473952414e-02,2.210918462698011344e-01,2.334129931650563983e-01,2.294770825762675326e-01
2.281922807771255904e-02,8.072776272763593219e-01,9.162695554375018814e-01,5.005740620224330070e-03,2.620206282202876963e-02,2.915222265761210907e-02,2.827855395334056415e-02
1.904117394886755965e-01,8.406934842806446095e-01,9.705454218174305314e-01,3.139330349804633769e-01,5.206636647916975669e-01,5.734914559370757337e-01,5.351259964914177880e-01
1.320409514447854205e-01,8.265002065487300209e-01,9.584616633425682153e-01,2.634803236091716738e-01,4.561579932565056339e-01,4.934995770741915644e-01,4.744635884696931649e-01
3.944857950190886614e-02,8.156294723080088627e-01,9.583908465729152892e-01,4.109779586728013606e-02,1.709509620126328788e-01,1.847475744668704012e-01,1.808881715692641223e-01
1.347486518900850028e-01,8.844822023517039389e-01,9.348217124446013271e-01,1.516095020418120609e-02,4.136233921836904998e-02,4.242668323486281645e-02,3.971996718069553678e-02
2.925506476223567118e-02,8.678493064270444979e-01,8.500562829903937079e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499122111022647141e-01,9.132379160304621157e-01,9.142648488711886401e-01,2.237374246319268241e-03,1.386035555824632545e-02,1.464598251986042043e-02,1.353301916047814323e-02
1.037230586408441624e-01,9.156314672617553718e-01,8.157605410508669275e-01,4.741503181590870156e-03,1.800942662876216585e-02,2.548003297655771632e-02,2.059752268886010096e-02
1.131097322435273694e-01,8.808567695159399413e-01,7.720209628201344376e-01,4.296566763329689315e-02,9.180424905568569660e-02,1.313401885186998019e-01,1.058987037960705535e-01
4.962400968869320333e-02,8.443166029027580066e-01,7.625632665217834116e-01,6.765235693185464409e-03,2.113563143033716021e-02,4.267094634107471834e-02,3.190082967800864089e-02
1.251974892186980548e-01,8.397254114606673703e-01,9.358677997025997009e-01,1.180642552433785464e-01,2.306572094963992292e-01,2.629632816952690577e-01,2.389493878958237616e-01
1.227442156873664453e-01,9.006109384365141857e-01,8.001183492768163541e-01,4.037653849746556528e-02,1.415936345584743183e-01,1.924330001467112194e-01,1.594524111692089685e-01
9.213082627276296399e-02,8.430139151944335829e-01,8.393474365157675976e-01,4.776325407123198363e-02,1.832182549150237760e-01,2.250823148925565620e-01,2.047037720609307387e-01
4.578684020253205589e-02,8.660764745631115424e-01,7.735704535344344324e-01,5.547388878154200717e-03,2.609203631959372549e-02,3.774144038564068021e-02,3.125876650825502173e-02
3.265127988476699411e-02,8.121278187772347223e-01,8.275417724339720893e-01,3.205646703963623868e-03,1.891409153431643925e-02,2.452964006902349711e-02,2.221476335090171589e-02
7.092399166668243715e-02,8.381664411751161836e-01,7.862546731845817538e-01,1.534697837989033864e-02,6.331124159952407349e-02,9.615190137633206069e-02,7.925221972711826712e-02
1.598783760309468727e-01,9.440126166604411173e-01,8.431941505514949364e-01,2.355494439173111854e-04,1.106523568414344121e-03,1.489531997392036467e-03,1.219658078094971445e-03
6.534470851992105200e-02,9.075097112501541163e-01,7.582408026722522454e-01,7.990908179107002358e-04,3.390811174292192309e-03,6.196368405557782510e-03,4.677512216954319083e-03
9.546629111332274875e-02,8.767489746148990903e-01,8.717538285917644236e-01,1.492498404760371489e-02,7.438407790677491194e-02,9.010253529549756835e-02,7.927112527889981775e-02
1.123640145923782002e-01,9.131670806289697850e-01,9.410079433599674026e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.541845149938345372e-01,9.418683438178081513e-01,8.832372971946101936e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.601798989996685130e-01,9.624053923413647960e-01,8.522641398055124107e-01,1.358102367823765116e-02,5.441358282671412971e-02,5.785056911183877881e-02,4.952646606365425364e-02
5.443139661268242557e-02,9.468266819999225925e-01,8.307734916644713419e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.883578725131427462e-02,7.951630715675122030e-01,7.781612914788955671e-01,1.017677325279905910e-03,5.919124244410896470e-03,8.490379893859418062e-03,7.266682909548186770e-03
7.143124310094925433e-02,9.156421764102047334e-01,7.774362033442706599e-01,1.112464071151100711e-03,4.628356660198272056e-03,1.077675301016424794e-02,7.619034459509739510e-03
1.744065512062817347e-01,9.628446461348794116e-01,8.849227477111918372e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.067307592520392923e-02,9.200676369520253139e-01,8.450964362635852156e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.024373180673631034e-02,8.807215223880050514e-01,9.542279098462412845e-01,6.283937973649043190e-03,3.084609978176233031e-02,3.390266694278083054e-02,3.121680091384664360e-02
5.664946841978471537e-02,8.406105189366449570e-01,8.190116728106868749e-01,1.151139267146953499e-02,5.255850344743919628e-02,6.945607903731995658e-02,6.045182414302973511e-02
4.359764415107726387e-01,9.646970085679099638e-01,8.738558100425937170e-01,1.323054312697992223e-02,4.436413789941631713e-02,4.686298584055371974e-02,4.006935035123371236e-02
3.445315014591775887e-02,8.134238038204992804e-01,9.084580220238835935e-01,2.781106768180820199e-02,1.432812103807071524e-01,1.513505074001181006e-01,1.504749436699498177e-01
9.688181638797654233e-03,7.985167046703025573e-01,7.826629970792137181e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.689903798700581883e-01,9.156202114589532259e-01,9.322218795903586264e-01,6.942070221628220822e-03,2.542086384722815062e-02,2.653657082091664260e-02,2.463528245478207798e-02
1.484399969857017332e-01,8.820073140598345685e-01,9.756195179765335679e-01,1.327978803332504829e-02,5.969634033019680097e-02,6.180102077908246339e-02,5.771823347146400052e-02
1.255350751708609880e-01,8.559201209763669382e-01,9.393690003882601003e-01,6.550965435250602487e-02,1.778679104973746039e-01,2.079862239463775020e-01,1.872224023424695072e-01
1.639085449272285055e-01,8.499637659563942238e-01,8.811897538463989710e-01,1.828014641889457448e-01,3.376305602136533413e-01,3.973385651289264575e-01,3.627947686178430442e-01
3.114909100283508869e-01,9.473479319668333121e-01,8.946957622092102103e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.509677106731501794e-01,9.550127309567578715e-01,9.193327010990214321e-01,1.470438219468219593e-02,6.551622228361313194e-02,5.552909657156872986e-02,5.339955508034018722e-02
4.215402840244664717e-01,9.700828533374785678e-01,9.390279856974311778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.059307492615559454e-01,9.581136832148110516e-01,9.460285548118948507e-01,5.015773910360820861e-03,3.745978143912376268e-02,3.018099851174677398e-02,2.961738680186121533e-02
3.594951300276215678e-01,9.649610809920582399e-01,8.682594432587804612e-01,3.232874850397876847e-03,1.445470647722507662e-02,2.090535149699189119e-02,1.513360031226745547e-02
2.484586461948353198e-01,9.615318446057673496e-01,7.978620529113467086e-01,9.585161543138173354e-03,5.122410193601307365e-02,5.414240924592106374e-02,4.656580865244657613e-02
1.856088520906768735e-01,9.543916872780908722e-01,8.324146560604499534e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.544385276812473319e-02,8.030170911539749046e-01,9.293661454778204822e-01,8.705316418467442391e-03,5.624755219632915360e-02,5.872773242289597295e-02,5.862529515978259775e-02
