5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.902798543308823115e-02,2.977337865193217803e-02,9.411701077980975938e-02,3.431809061754887563e-02,3.114999263313587147e-02,2.377031733026528995e-02,7.417771075491333410e-02,3.124904046241683969e-02,4.323720670116486947e-02,6.230346331140692445e-02,3.568585721001913541e-02,7.489485940785176044e-02,2.731251642051110012e-02,9.585175102806942071e-02,2.161350888419864141e-02,1.757849710823395917e-01,3.563344620921604644e-02,1.376617215216776810e-02,6.633272092994436930e-02
9.168784434119107984e-02,1.373405726570461720e-02,8.041137193020762852e-02,1.476691910802919311e-02,4.143884844677479112e-02,3.757115451094081033e-03,1.145304210805841161e-01,1.174022594713114084e-02,1.054634011427014462e-01,2.352991911502202299e-02,9.619242167535796417e-02,1.939028290478963037e-02,3.137625743086326635e-02,3.544016418050253969e-02,4.012725123731307464e-02,9.109020014123901665e-02,7.010517321283378338e-03,1.431747445173573718e-01,3.513803676285347927e-02
7.703588396654670323e-02,5.628408541141794244e-03,4.788867203153161778e-02,3.370208681274754203e-02,3.778046260256119615e-02,1.374056021803192820e-02,1.262640086334655409e-01,1.498497654572180163e-02,9.944613518598408031e-02,2.514657692476256895e-02,6.368122531479344928e-02,2.046161846681977467e-02,5.995472143146460958e-02,5.032575128334556419e-02,2.522029464966755660e-02,1.202142176462310669e-01,7.794721794838222265e-03,1.170833920267868866e-01,5.364628592355805137e-02
7.892030040655940992e-02,3.978563117885577233e-03,3.527699590386865203e-02,4.217090930693306178e-02,4.471343827497077650e-02,1.785409101799798753e-02,1.305640489471899257e-01,1.478496426026159813e-02,1.018494694943616746e-01,2.683910839638171952e-02,5.779835940870981653e-02,2.085429065133892826e-02,6.385204394309174081e-02,4.711379363322303754e-02,2.484972308397156299e-02,1.093172572139574222e-01,6.573311207166579982e-03,1.213204238961996390e-01,5.136890783593079518e-02
7.966310277413178598e-02,4.585943898422178977e-03,3.952827100169992169e-02,3.654105449305271314e-02,4.106829979890803256e-02,1.526970088605266937e-02,1.312367282185037953e-01,1.530724067790179693e-02,1.009214776404568636e-01,2.593141221528449600e-02,6.026130499828370735e-02,2.101550045375728468e-02,6.175448837335550251e-02,4.874964720644638788e-02,2.532729376668164251e-02,1.164951633135074410e-01,7.454139974189303262e-03,1.163478465656610922e-01,5.254138374370336678e-02
