Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
7.918067498785470448e-01,9.410548107483603930e-01,9.041518089616921161e-01,7.929524036261517139e-01,8.446635765174053123e-01,8.476742916844649534e-01,8.474232196079465318e-01
8.437932846427408373e-01,9.204421407073408723e-01,9.461385323132055492e-01,7.740874630407484913e-01,8.334414750142337125e-01,8.366545042180006941e-01,8.356007555911324491e-01
8.437932846427411704e-01,9.204421407073410943e-01,9.461385323132053271e-01,7.740874630407484913e-01,8.334414750142334904e-01,8.366545042180006941e-01,8.356007555911322271e-01
8.445021862817362335e-01,9.166248204113470743e-01,9.488870595981566680e-01,7.734721401055467682e-01,8.328590826207219466e-01,8.360229909083491950e-01,8.350214360161891669e-01
8.771304448979569957e-01,9.088062947024811988e-01,9.451699202584127324e-01,7.851320794190104202e-01,8.329725872910077600e-01,8.364786581234968654e-01,8.360007672868147166e-01
8.445021862817364555e-01,9.166248204113469633e-01,9.488870595981566680e-01,7.734721401055465462e-01,8.328590826207218356e-01,8.360229909083491950e-01,8.350214360161891669e-01
7.834772623833309302e-01,9.278550961132505659e-01,9.262553239077857548e-01,7.835969746636609612e-01,8.405012862685687924e-01,8.465581373669214260e-01,8.441693769289552174e-01
8.472876077584552412e-01,9.159587055920246357e-01,9.470505598393661462e-01,7.724115827731476980e-01,8.333288336436374122e-01,8.378149991121797147e-01,8.361167153014624764e-01
8.646105990662250607e-01,9.140175267328987108e-01,9.495975315764787483e-01,7.675388775410323383e-01,8.246617697241627187e-01,8.288070705619234868e-01,8.274609147121084751e-01
8.596417792280167669e-01,9.441317420371468927e-01,9.072435223027707218e-01,7.781094050791155237e-01,8.280475512835163698e-01,8.313455454054080596e-01,8.308032843894297415e-01
8.637766200646098680e-01,9.413990927685030874e-01,9.094803092420176149e-01,7.253944733294517277e-01,7.919777274026398306e-01,7.991266760606983155e-01,7.962656733201368686e-01
8.604736461238958745e-01,9.425021468822029069e-01,9.055897179743634950e-01,7.261503617146409795e-01,7.923194438019603991e-01,7.991317018480531553e-01,7.964412682909088881e-01
8.679359100869237231e-01,9.428152506952254264e-01,9.110460838727880706e-01,7.221761809663147513e-01,7.869433114392674344e-01,7.933681410552969604e-01,7.911307471265062174e-01
8.447062208067219746e-01,9.399015416134072209e-01,9.219153630550133149e-01,7.379273707481320832e-01,8.047888061089166767e-01,8.146222542996659488e-01,8.103700104216000621e-01
