feature,display_name,observed_adjusted_r2,null_mean,null_std,null_p95,spin_p,fdr_p
Xi_estimate_Power,XA,0.6496239370,0.5441880933,0.1226782898,0.7283000355,0.1913808619,0.2232776722
Xi_estimate_Width,XB,0.8455638417,0.7570769036,0.1199413305,0.8950155815,0.2534746525,0.2534746525
Xi_estimate_Exponent,XE,0.7470112554,0.4948801386,0.2045452809,0.7334267773,0.0300969903,0.0421357864
Alpha_estimate_Power,AA,0.4437689837,0.0235967903,0.0939434262,0.1819179008,0.0020997900,0.0036746325
Alpha_estimate_Width,AB,0.5719404556,0.1340109852,0.1025677407,0.3024689096,0.0002999700,0.0006999300
Alpha_estimate_Exponent,AE,0.5853949960,0.1444309402,0.1038382617,0.3177767477,0.0001999800,0.0006999300
Alpha_estimate_PAF,AF,0.5801064045,0.1414804168,0.1026417443,0.3105582721,0.0001999800,0.0006999300
