Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
9.457938255319930931e-02,9.360372444171602968e-01,8.461540133986834578e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.193253994695657794e-01,9.387213870059702980e-01,8.495899866812275381e-01,2.785871279191122485e-02,9.377078013852120641e-02,9.994784697718545052e-02,1.016499137300342637e-01
1.032586955804225270e-01,9.333999426784670428e-01,8.370720903631099219e-01,1.434520017987286683e-03,7.670453814270870169e-03,8.241001609672811770e-03,8.438822710874151548e-03
7.933695315437471196e-01,9.685096821137942902e-01,7.975765058503875293e-01,7.274157306153643532e-01,8.542005970760583322e-01,8.265058688778815776e-01,8.979156302219778452e-01
3.155306305011284507e-01,9.700002104482386978e-01,7.979503327382815314e-01,5.305160141009201274e-02,1.734895692016548419e-01,1.776994603547311646e-01,1.835362284903854502e-01
1.584395471060367488e-01,9.559596439034192539e-01,8.249011929107589181e-01,8.448227057030339646e-03,4.097094840361956841e-02,4.345011976952484894e-02,4.487734540687757928e-02
6.744102460582044323e-01,9.010472076161648580e-01,9.652157235058103080e-01,4.503363271643568422e-01,6.733054355399815671e-01,6.830653000596367264e-01,7.077173335124047338e-01
5.015706859195391276e-01,9.354035463389320793e-01,8.643697773950567154e-01,2.696564766042760519e-01,5.019091501124877119e-01,4.984856217291123714e-01,5.313610566842398297e-01
2.303756939873256582e-01,9.670308541454758489e-01,7.990848421439508131e-01,6.039193836931151110e-02,2.143884118116641813e-01,2.192411765470514973e-01,2.297285542201719655e-01
3.088600288038198527e-01,8.710335699870069837e-01,9.463663791831855576e-01,9.747467777667356836e-02,1.501560941124659709e-01,1.593905870104707911e-01,1.575783940540245454e-01
6.609889497435017525e-02,9.067772182607189979e-01,9.111390241609816920e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.229450335350317336e-01,8.756560638527230989e-01,9.085666608818475654e-01,2.597589060696067070e-02,1.023535138293135138e-01,1.005456438407705683e-01,1.038820456506014400e-01
2.599976546770516594e-01,8.887656545942019815e-01,9.076493813736657978e-01,1.436002370619890445e-02,6.240667286117232426e-02,6.063460556095656012e-02,6.193506919194172872e-02
3.341631660429478234e-01,9.247898137572807542e-01,8.627543418758037985e-01,6.165007992205481097e-02,1.534188543072068089e-01,1.557970664210706901e-01,1.561008773122375404e-01
2.771400231874245335e-01,9.523130585921355529e-01,8.296176588165499188e-01,2.094199990649162069e-02,7.557456954863334131e-02,9.783397447631644872e-02,8.359432518016686464e-02
4.515466872747744831e-01,8.958528583729048478e-01,9.228895262513586717e-01,2.392027594776485466e-01,3.675961878016538176e-01,3.832384446147709678e-01,3.842101305990763271e-01
3.135279619448631538e-01,8.812017722671008357e-01,9.208955495241972766e-01,7.139218547946055149e-02,2.232970925712609023e-01,2.267306891402886826e-01,2.253389562961120585e-01
3.062469729044607347e-01,9.300013719933580836e-01,8.698753841921141872e-01,1.084440594842799033e-01,3.232779239955386186e-01,3.340195675787329677e-01,3.397747847678138644e-01
1.863957328132017366e-01,9.267840567990967005e-01,8.734323690641376814e-01,2.028640548354742473e-02,9.208989902588794740e-02,1.111290287348084688e-01,1.009076590566570092e-01
1.546607565144286767e-01,9.312315457780497852e-01,8.692987818780263387e-01,1.402767327928807276e-02,6.826143472417510460e-02,7.859409884547773062e-02,7.466558508037676734e-02
2.959042522702517442e-01,9.319302695123253821e-01,8.676819303503536807e-01,4.904807955729367785e-02,1.839007239828410190e-01,2.088349487758648371e-01,1.970227226549746136e-01
