Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
8.186946835265350719e-01,9.002322013428903924e-01,9.170850522563231966e-01,7.861653136888077098e-01,8.523194856903919536e-01,8.581291341412087270e-01,8.542043794005601542e-01
8.746361847866807038e-01,8.881624819569939877e-01,9.070614343420818626e-01,7.714736367025566421e-01,8.633694067560137020e-01,8.638461995094351975e-01,8.613446792388252948e-01
8.746361847866804817e-01,8.881624819569938767e-01,9.070614343420819736e-01,7.714736367025566421e-01,8.633694067560137020e-01,8.638461995094353085e-01,8.613446792388254059e-01
8.754073190186815179e-01,8.827598195327950314e-01,8.989451891440624065e-01,7.711273429112591726e-01,8.626687056465804915e-01,8.631264005212995194e-01,8.607262714273565818e-01
8.790246359956195299e-01,8.812244220286475915e-01,8.927316803982575655e-01,7.795392711205297864e-01,8.630186870974176916e-01,8.634811192727871454e-01,8.614178585154163015e-01
8.754073190186815179e-01,8.827598195327950314e-01,8.989451891440627396e-01,7.711273429112593947e-01,8.626687056465806025e-01,8.631264005212994084e-01,8.607262714273568038e-01
8.253674710378774426e-01,8.890363396655474038e-01,9.042515824247029377e-01,7.791023298052905943e-01,8.550374782351831682e-01,8.594436411162429401e-01,8.557342578895055230e-01
8.485716303513638481e-01,8.843204578676606697e-01,8.970637386834912075e-01,7.747016006093295770e-01,8.682570783371974521e-01,8.697513829906874383e-01,8.664127812212402135e-01
8.786508477189073352e-01,8.725592029444990683e-01,8.910924818791118307e-01,7.697097406125145147e-01,8.588220064152001232e-01,8.600132759994836285e-01,8.570391352570408960e-01
8.659332056170988556e-01,9.118210501319752304e-01,9.032522749593263622e-01,7.638811608427886757e-01,8.350476382509428586e-01,8.419388306482220585e-01,8.372310158602822572e-01
8.599123328369340236e-01,9.105852444604584095e-01,9.043071613763498107e-01,7.276415984716650964e-01,8.202047054739662890e-01,8.281077689138176545e-01,8.219096784972349523e-01
8.590796784754983761e-01,9.089122022083828689e-01,9.043007373239441149e-01,7.274550362978736695e-01,8.200982663949655249e-01,8.277304290307720969e-01,8.216321422833110510e-01
8.611661143556585962e-01,9.134048268198130538e-01,9.031669710351100111e-01,7.207103650080703972e-01,8.148489755005015045e-01,8.227052032330146591e-01,8.164961759118178897e-01
8.417326371833837584e-01,9.098404939459070473e-01,8.979957988222795340e-01,7.365662549909718360e-01,8.317947163030621205e-01,8.388103453238527907e-01,8.337316340266500703e-01
8.642551217660138230e-01,8.830610460174516119e-01,9.132054831543068296e-01,7.393574619073071119e-01,8.636716429706683407e-01,8.659344855072815816e-01,8.637319293164090750e-01
8.285661622884026301e-01,8.912728441138844104e-01,9.063334731156957869e-01,8.151834054438140686e-01,8.727968184304430999e-01,8.774997239435199381e-01,8.744479364678167110e-01
8.567749650340065193e-01,9.067187945547057204e-01,8.971040398391867399e-01,7.698284758491601432e-01,8.434532315326922491e-01,8.507503354294755349e-01,8.458612171852659678e-01
8.474461470958688514e-01,8.733483824505128279e-01,8.977464854817353013e-01,7.830702321267212218e-01,8.685018543596443319e-01,8.698391662165069205e-01,8.665858408993837303e-01
8.481702661996850523e-01,8.981642117113258772e-01,8.896842291862999685e-01,7.425541526623518074e-01,8.379269577414361070e-01,8.454809005547984091e-01,8.397751112582670929e-01
8.564458022828618233e-01,8.765208093580967308e-01,9.155973246176630775e-01,7.901344917141066571e-01,8.804013663923277999e-01,8.825461580137876627e-01,8.790916771065664381e-01
8.415741396057785373e-01,8.836549005906767507e-01,8.989571239306477501e-01,7.750865209702749725e-01,8.607555461773822580e-01,8.639326515656892136e-01,8.601555178499292742e-01
8.836106824396092740e-01,9.165336839435365146e-01,9.179145310446087391e-01,6.836061375726814049e-01,8.032929944901443520e-01,8.103003418895197152e-01,8.042209458857820792e-01
8.772321081341849514e-01,9.203949260119523856e-01,9.182200474682283842e-01,6.838191118311426342e-01,8.081281885587281444e-01,8.160411684119573961e-01,8.090377630777589868e-01
8.474232340089178361e-01,8.958368887848849882e-01,8.846927265581850941e-01,8.036430410303353478e-01,8.647544872038233077e-01,8.711176138875724728e-01,8.667542052223946580e-01
8.883190724810283712e-01,9.156573232132843021e-01,9.206621524731694040e-01,7.379351513282637054e-01,8.203367532025653830e-01,8.244094474623406832e-01,8.211126476315258049e-01
8.893679033977357484e-01,9.317270831564015143e-01,9.298605998458878696e-01,6.489201951814860259e-01,7.728458846365243717e-01,7.772644203271029673e-01,7.725646029433373974e-01
8.803156701054211108e-01,9.436884755236311095e-01,9.460065064137507251e-01,6.714630571059926334e-01,8.068711502123954160e-01,8.190573965447855986e-01,8.114739644203241564e-01
8.974629459114720209e-01,9.390053248432184141e-01,9.422631539625292429e-01,7.224531928641501066e-01,8.493269066919658661e-01,8.685226522297448959e-01,8.586814261454880359e-01
8.474066572795787566e-01,8.686457333604301612e-01,9.033191665906197265e-01,7.583690749605745962e-01,8.644864626826461729e-01,8.677839474240740536e-01,8.638852655663535884e-01
8.841609718928444828e-01,9.193671854878848748e-01,9.273796388150022940e-01,7.237913862299032441e-01,8.605975874455005226e-01,8.698500636774900707e-01,8.658017858562211400e-01
8.848681116143634062e-01,9.353837367202954001e-01,9.549982538976773405e-01,6.494783766337208775e-01,7.887426421343829430e-01,7.964395472093745987e-01,7.929779533343934705e-01
8.869763037855732390e-01,9.329643091469150828e-01,9.397195281156643931e-01,7.253393657147730877e-01,8.116554319515357774e-01,8.155882080251850574e-01,8.121442787023457344e-01
8.525791307093681937e-01,8.944119539438225575e-01,9.022100163365879277e-01,7.799022040610439355e-01,8.438317473004441904e-01,8.491362837630304083e-01,8.456867009027592141e-01
8.363192814880331394e-01,8.869379257619559587e-01,8.827250296479161040e-01,7.810228477989811235e-01,8.566548443664961932e-01,8.623685300272725396e-01,8.576707578197735327e-01
