5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
9.452489603175254218e-03,1.221647642345650014e-01,1.231691877353105341e-01,2.064170761492305911e-02,1.903260744511671779e-02,5.733515339769432867e-02,3.103418144910197532e-02,5.713630311977022092e-02,4.548805147795620396e-02,1.491309663541500775e-02,9.299572633103309061e-02,2.352901437823422259e-02,2.308623793780678612e-02,3.692684074953785783e-02,2.787101773721049197e-02,2.769483825334428245e-02,1.260735842863906081e-02,2.041611790401119120e-01,5.076024443105382061e-02
2.688479712637818417e-02,1.484326113828767467e-02,2.034576904063823202e-02,1.079735779346803898e-01,1.115326008492495066e-02,1.717021056491246575e-02,1.754726690242855089e-02,2.179295497706267709e-02,2.849150330704079345e-02,1.128555695835130601e-01,9.468231991379237947e-03,7.331088261594689848e-03,1.309933541090530507e-01,2.375091741134571083e-02,4.547001637571819466e-02,6.252025628233751076e-02,2.537091637644141584e-01,2.765940335667924597e-03,8.493286080862250120e-02
1.976467668162017535e-02,1.631884820298666952e-02,1.973159146442396081e-02,1.043136758685064835e-01,1.567407536804012874e-02,4.051391041726817854e-02,4.444477412725675314e-02,1.763860218492801363e-02,3.169716583629455381e-02,9.238908628122595446e-02,8.310501662770235914e-03,6.131567268044210185e-03,1.530468716706635812e-01,1.991811381464189679e-02,3.855327201609735910e-02,8.575722259879731135e-02,2.174023640361032461e-01,2.157882996901196431e-03,6.623579750343018546e-02
8.267278280895765108e-02,-4.930178167027209676e-04,7.145586460251535099e-02,7.260844279477418617e-02,6.175430931595876638e-02,1.620234505484902804e-02,1.089727294199733798e-01,1.196139684158988373e-02,8.149468745931814917e-02,2.946556059949318601e-02,4.945094732861397141e-02,1.342727483204805838e-02,4.888546321870002737e-02,3.602271525985432238e-02,1.867350306256989126e-02,8.541266382775195010e-02,4.037496597572702052e-03,1.730185036326865877e-01,3.497633115947565430e-02
6.999643355781831611e-02,8.850627541661579972e-03,4.423640843279492280e-02,9.797927617535309719e-02,3.965892612380857857e-02,2.873954136004640281e-02,9.581594397960237208e-02,1.371195513954925893e-02,8.131083196799515633e-02,2.724307183443656910e-02,4.427005411842348942e-02,1.473682656955280744e-02,7.677600733881169426e-02,4.852419070290301534e-02,2.323885976306418188e-02,8.581865473254778054e-02,4.809235692896351652e-03,1.454094537421186661e-01,4.887370122661554434e-02
6.645118815320967542e-02,7.348414852854544092e-03,3.954348405424013002e-02,9.944584187831928546e-02,4.119100589888612801e-02,3.182594101399302544e-02,1.019378195375305468e-01,1.312108024195478805e-02,8.306469793106492638e-02,2.795621093489129849e-02,4.406713354588676079e-02,1.545372311384368182e-02,7.839186623992493164e-02,4.979976560967994126e-02,2.413940822841313671e-02,8.634088468468878452e-02,5.218743999961590607e-03,1.354406412121218206e-01,4.926214886853500646e-02
7.061726098425288867e-02,7.689893873259807076e-03,4.199820717762696443e-02,9.762303809691449952e-02,3.727162119504436738e-02,2.868294955557043960e-02,1.007627271922547224e-01,1.352783360908806944e-02,8.369165902163006043e-02,2.725803288091594237e-02,4.395825254289142253e-02,1.497000657182716472e-02,7.853544121620012475e-02,4.785460819495158946e-02,2.355131098439466886e-02,8.985388276512752681e-02,5.066001987671125972e-03,1.375934603128885214e-01,4.949381183749016616e-02
