5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
6.314152715271770591e-03,8.160463646985645358e-02,8.227557964364050347e-02,1.378841973450366763e-02,1.271355960422497142e-02,3.829921319193679841e-02,2.073047094357655107e-02,3.816638352747831614e-02,3.038548740169759801e-02,9.961774470715610216e-03,6.212005964275444519e-02,1.571710694863820076e-02,1.542133745499663956e-02,2.466669857079553663e-02,1.861751450789006501e-02,1.849982866922431080e-02,8.421568263651424413e-03,1.363772844094085224e-01,3.390725075164675167e-02
1.991402173513369053e-02,1.099465335515241796e-02,1.507045357228114189e-02,7.997784650201829326e-02,8.261407467749629085e-03,1.271826396082432163e-02,1.299755593633631322e-02,1.614240855327893354e-02,2.110413604595717807e-02,8.359401988612788492e-02,7.013278797801183150e-03,5.430260466438100939e-03,9.702898216502806039e-02,1.759270428322630420e-02,3.368040644481966328e-02,4.630980611979509248e-02,1.879266478321301170e-01,2.048778560747663811e-03,6.291119952363373458e-02
1.592718560157667732e-02,1.315039594726215288e-02,1.590052417910865420e-02,8.406023043551354157e-02,1.263081160098250035e-02,3.264776758334434620e-02,3.581541848358452823e-02,1.421390773434576434e-02,2.554287385778955533e-02,7.445090797410118533e-02,6.696942457360901754e-03,4.941067920301906238e-03,1.233314346652660681e-01,1.605083152481524833e-02,3.106780489455087876e-02,6.910668072182224453e-02,1.751917250153931516e-01,1.738910458884092595e-03,5.337551720674562489e-02
3.643970264002376058e-02,-2.173075832997643905e-04,3.149561886671283645e-02,3.200364103759271994e-02,2.721946197714980240e-02,7.141511581073655031e-03,4.803193652149986143e-02,5.272227802880103537e-03,3.592043326546235510e-02,1.298754233117206842e-02,2.179650611358064857e-02,5.918343202216386385e-03,2.154725754454989844e-02,1.587774098990545404e-02,8.230724498775331827e-03,3.764736066484945798e-02,1.779608359931920004e-03,7.626140804000910989e-02,1.541652601480102136e-02
4.353909274738231028e-02,5.505256108379224904e-03,2.751587461917786789e-02,6.094494499060941484e-02,2.466859488404917269e-02,1.787653303448238223e-02,5.959931184436652318e-02,8.529092929793957376e-03,5.057686048385723332e-02,1.694570095979762436e-02,2.753680286584234138e-02,9.166582155701563997e-03,4.775611462456939155e-02,3.018295550387196588e-02,1.445500605015394291e-02,5.338081067758386478e-02,2.991434680798071843e-03,9.044740383229361858e-02,3.040035759615908328e-02
4.199336910261003419e-02,4.643779980631056181e-03,2.498923145910180235e-02,6.284411249483952411e-02,2.603037150263751154e-02,2.011218347152985905e-02,6.441890055427111628e-02,8.291775977804805367e-03,5.249216178909714425e-02,1.766673429213332439e-02,2.784792049195359068e-02,9.765873519566686117e-03,4.953919809628862941e-02,3.147061770587385870e-02,1.525473220007988670e-02,5.456252536599525554e-02,3.297949203513725943e-03,8.559077717017599118e-02,3.113087452183041157e-02
4.418338209987063281e-02,4.811366436110532316e-03,2.627718505893921960e-02,6.108019390539711629e-02,2.331988323803018889e-02,1.794617494790237688e-02,6.304461564932666018e-02,8.464013372978227562e-03,5.236369263811212899e-02,1.705464167375321874e-02,2.750353442592856634e-02,9.366343457417682788e-03,4.913758136854208536e-02,2.994138273911015405e-02,1.473544226543182720e-02,5.621923563778408878e-02,3.169665580627525556e-03,8.608864669508189960e-02,3.096698979138497870e-02
