Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
3.820588371997618582e-02,9.592029540260824660e-01,8.776317823798454043e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.121793284159576243e-01,9.266270072344172659e-01,9.286008763690851708e-01,3.344020830342733785e-02,9.268891707803211810e-02,1.000939089085362277e-01,9.600118630747991877e-02
3.398753456768484338e-02,9.290953176093185162e-01,8.904988635256031460e-01,1.830946881290030932e-03,8.158271313957948107e-03,9.026819325020836796e-03,8.632558431793620202e-03
4.749499927192634696e-01,9.201783543977150037e-01,9.737792989410218869e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.244849177726742168e-01,9.117188656138126568e-01,9.897208697846748837e-01,6.849604841015462242e-02,1.873031683723808682e-01,1.994913103455691339e-01,1.930224238573699513e-01
4.310749020643181439e-02,9.333004823508467274e-01,8.935134989398593186e-01,7.758271098948445535e-03,3.291065003940013556e-02,3.772649034178029298e-02,3.519087976652149341e-02
4.366084906439220981e-01,9.309582711833667146e-01,9.752103300925710760e-01,2.997804366311034308e-01,4.942115820692028483e-01,5.770811953837184927e-01,5.127069328049866925e-01
3.009667362862379347e-01,9.308479230153311468e-01,9.670874254634451717e-01,2.652247315109437231e-01,4.308264632648164949e-01,4.700442617901990361e-01,4.447695841852605247e-01
7.158635061823269419e-02,9.232800792157987990e-01,9.518607813345659752e-01,5.637676305042899072e-02,1.750578584398681803e-01,1.945614449367128462e-01,1.845148993608478061e-01
2.139705053046014882e-01,9.109725047130324826e-01,9.615903011784207033e-01,2.555829892751955434e-02,5.020379124233917412e-02,5.015256156403543469e-02,4.568753341272802776e-02
5.025298154917953730e-02,9.454976420586435060e-01,8.714638230217328640e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.442956766237078248e-01,9.247047506304552078e-01,9.329086752992354903e-01,4.191093659593047617e-03,2.087978515439516819e-02,2.220212315008856033e-02,1.966560115692904745e-02
1.847253676583731352e-01,9.529261752188901147e-01,8.805281450067784510e-01,6.618119768310167655e-03,2.284816188684009666e-02,2.989125206484217340e-02,2.389423861370126509e-02
2.603629356169270270e-01,9.727431434030296975e-01,8.273597707502926557e-01,5.142706440103462368e-02,9.242454975172099962e-02,1.211887737296761802e-01,9.663680107485896065e-02
8.294381395799203804e-02,9.631180670784290632e-01,8.017412596251315415e-01,3.057058301630372673e-03,1.085543526137311941e-02,1.988957310460005845e-02,1.377826829978663972e-02
2.780279212751127771e-01,9.371583201669819729e-01,9.395016619528091528e-01,1.293124748127693346e-01,2.391618467986134922e-01,2.883085677376640565e-01,2.477829319215580917e-01
1.997107413421917443e-01,9.524299958655400022e-01,8.724818822123857620e-01,2.711486070737068738e-02,9.559724582427224504e-02,1.158939953920199994e-01,9.738253890983381011e-02
2.921172033393676370e-01,9.628175816840450763e-01,8.959564015460804720e-01,3.468706745914398176e-02,1.270369548158922224e-01,1.504926516872719666e-01,1.360163919584780612e-01
7.065002956727596539e-02,9.667640829011573400e-01,8.419285515188609237e-01,1.452675916201478243e-03,6.359219135991412732e-03,8.192040548317583437e-03,6.813770100424340094e-03
6.131601931603250510e-02,9.565767843577185348e-01,8.706577997658595525e-01,5.244121244130522681e-04,3.041213139986586635e-03,3.859132922370972496e-03,3.430624467221602726e-03
1.844546789549504906e-01,9.659508511738429393e-01,8.205765903900696934e-01,4.314842700148498363e-03,2.256254158499555740e-02,2.860671351779227670e-02,2.462935307445576760e-02
2.364655719704691350e-01,9.660073334505432374e-01,8.751950102220167338e-01,5.696289624539234995e-04,3.681027220770841622e-03,4.047333488480174893e-03,3.419240086289574050e-03
1.110601649010962977e-01,9.795505692375606754e-01,8.048738038928111571e-01,6.501633652563710902e-04,3.184023811506515866e-03,4.206744911384607648e-03,3.335240636139129820e-03
1.489521035510199820e-01,9.341519535351688885e-01,9.267771103464005344e-01,1.345652625893116114e-02,6.478313009746274054e-02,7.527853384003306558e-02,6.554797940403429835e-02
1.758414701541826664e-01,9.503331730629439589e-01,9.406452730320021827e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.372280834269949734e-01,9.785756467502780831e-01,8.707856024135358641e-01,1.199671319093910149e-04,8.341768083697909770e-04,8.871163347266527218e-04,7.549590677805222225e-04
5.279223544196517404e-01,9.926841278472344765e-01,8.702236542146356557e-01,3.608057249485510393e-03,1.677709755602752040e-02,1.912058426435908967e-02,1.565653037704914721e-02
8.335568741739166065e-02,9.886534766443783040e-01,8.337967552270311167e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.982380025681360611e-02,9.330496185018057886e-01,7.864894048570932883e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
