5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
1.177654555065490820e-02,1.273942056910165599e-01,1.084151358127219411e-01,3.063882199507161896e-02,2.095921964653431682e-02,2.460041009866274428e-02,4.614615355258993440e-02,1.782885503237151559e-01,4.025419240122005138e-02,1.373325615007783135e-02,2.559486780933043631e-02,2.334730408223918002e-02,1.542241188291570281e-02,6.722246059647403460e-02,1.582820357706282710e-02,4.248933082939901351e-02,6.020510522660172704e-03,1.765327187452391811e-01,2.533570073241440263e-02
1.969509138631533179e-02,3.324214243208647307e-02,4.047399089540200390e-02,6.592907654162513675e-02,9.901257612784998205e-03,1.273285506218131517e-02,9.390030881524828732e-02,6.487010015178276690e-02,2.456906463346069866e-02,1.206908777473286731e-02,2.489059854339052344e-02,7.817034627153475468e-02,1.010079709859125208e-01,2.259587146572039976e-02,3.334458581391392534e-02,2.572026409799737512e-01,5.731915977754658414e-02,3.046745489476186675e-02,1.761839596162560750e-02
2.821437923660546562e-02,4.740936729561065488e-02,6.828576034596837985e-02,5.169285266906045728e-02,3.226184464945970609e-02,6.085942768286177300e-03,9.026164057114843819e-02,3.257839476147508101e-02,1.117993586461895304e-02,1.026943380031329622e-01,1.513985132866504414e-02,4.525491238033898383e-02,4.387497517931313040e-02,1.267131767217343219e-01,2.319134903296856884e-02,2.067505531996168822e-01,1.260294807050618172e-02,7.824636039839875587e-03,4.798314188165071770e-02
8.645887863620077551e-02,1.779794103698935023e-02,1.007931951052026542e-01,1.532656552285525942e-02,1.737808720467103052e-02,1.827920288319841548e-03,1.100737749443739949e-01,1.446479475827084325e-02,1.107874112302209141e-01,2.019161904026208973e-02,1.060610959888312749e-01,1.504043891572667997e-02,3.119182824815712463e-02,2.813309842552042667e-02,4.743349652266492383e-02,1.133570305822608482e-01,5.540754468216950619e-03,1.212608614424541403e-01,3.688120763880094188e-02
7.512594552184669039e-02,5.436423397334751162e-03,6.798297958845726796e-02,3.206899648845619455e-02,2.294342832459202175e-02,8.325375073892223379e-03,1.302669882442576699e-01,1.690742097530021151e-02,9.370691753649863787e-02,2.328354861061236389e-02,6.401117424076402385e-02,1.870980359645441071e-02,6.315710027087007017e-02,4.257599210245781307e-02,2.581389432591765093e-02,1.524671022391264619e-01,8.107642146613028983e-03,9.517204362858083799e-02,5.393722368796761285e-02
6.968375867484002950e-02,4.336195630661288970e-03,6.079709208793065978e-02,4.077643126394252943e-02,2.717031334586216679e-02,1.058708616142014364e-02,1.348812652516857835e-01,1.634364368866406125e-02,9.237211156772459630e-02,2.442487599110560251e-02,5.815733514442268659e-02,1.830048525141967156e-02,6.926741766774699438e-02,4.428304239805511827e-02,2.348888277172064484e-02,1.489916473489903692e-01,7.271950413466007207e-03,9.538529954457820870e-02,5.348116579576332741e-02
7.478184591626836630e-02,4.803246962474598016e-03,6.263408289496465164e-02,3.364836856368529083e-02,2.418034862877841903e-02,8.822903366952581164e-03,1.339055579298339127e-01,1.701894588176448841e-02,9.383720608831619403e-02,2.329581774060270408e-02,6.243735803579564259e-02,1.887300934244336495e-02,6.511049853085902617e-02,4.296177115406040609e-02,2.496538346182214027e-02,1.522329410777712999e-01,8.124800338849985995e-03,9.386550830469685136e-02,5.450040578005988651e-02
