feature,display_name,observed_adjusted_r2,null_mean,null_std,null_p95,spin_p,fdr_p
Xi_estimate_Power,XA,0.6119708403,0.4122220207,0.1014731174,0.5707589644,0.0156984302,0.0156984302
Xi_estimate_Width,XB,0.8415889727,0.5535076015,0.1121465371,0.7049968377,0.0000999900,0.0006999300
Xi_estimate_Exponent,XE,0.7554922101,0.4246733313,0.1891608918,0.6469884847,0.0004999500,0.0015748425
Alpha_estimate_Power,AA,0.4192611121,0.0310591273,0.0965449120,0.1873142788,0.0026997300,0.0031496850
Alpha_estimate_Width,AB,0.5301986258,0.1404782034,0.1046617161,0.3054328627,0.0011998800,0.0016798320
Alpha_estimate_Exponent,AE,0.5346449752,0.1568681733,0.1088784922,0.3308658298,0.0008999100,0.0015748425
Alpha_estimate_PAF,AF,0.5316715918,0.1487787236,0.1060108744,0.3155278346,0.0008999100,0.0015748425
