5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
7.206902477045064315e-03,7.796153911235184641e-02,6.634690176988546073e-02,1.875006564363391678e-02,1.282643126015333215e-02,1.505473364101389544e-02,2.824010036846226132e-02,1.091073939662468434e-01,2.463439195135352228e-02,8.404352306894121577e-03,1.566331276190295607e-02,1.428786929909651136e-02,9.438066360199604682e-03,4.113818570156604210e-02,9.686399044273550155e-03,2.600223149354301960e-02,3.684376883883623034e-03,1.080328762396552122e-01,1.550471006805180171e-02
1.657517172792334972e-02,2.797622050125475254e-02,3.406246442054226137e-02,5.548518380067714306e-02,8.332789223224990743e-03,1.071583041188912781e-02,7.902546443624081096e-02,5.459396094858874615e-02,2.067705386617387647e-02,1.015721118230381026e-02,2.094765325913432522e-02,6.578730141776334417e-02,8.500719454106693551e-02,1.901643625510833144e-02,2.806243572173141784e-02,2.164589064095761850e-01,4.823917279577836364e-02,2.564107406703004105e-02,1.482744775875497606e-02
2.131574372628647351e-02,3.581740767797970959e-02,5.158936000267638766e-02,3.905354750973231287e-02,2.437357231637914470e-02,4.597882352602923606e-03,6.819196632306491479e-02,2.461272346011555631e-02,8.446354455225931271e-03,7.758477238355813987e-02,1.143803974099869870e-02,3.418973377246321138e-02,3.314720196665003199e-02,9.573081793130029660e-02,1.752088353630192746e-02,1.561984323778165817e-01,9.521429091662239955e-03,5.911451575028822160e-03,3.625088990809088169e-02
3.624884560618028828e-02,7.461984551897687772e-03,4.225866706987686100e-02,6.425832905475204609e-03,7.285956167248970432e-03,7.663758928740846930e-04,4.614965329399259297e-02,6.064525936357739906e-03,4.644885323681722383e-02,8.465560653510614125e-03,4.446729305267280857e-02,6.305871145974875636e-03,1.307752059912241534e-02,1.179511413213230574e-02,1.988702050192268922e-02,4.752619470397509427e-02,2.323022880105393619e-03,5.083996362010985426e-02,1.546285612948726171e-02
3.983167307566184978e-02,2.882384214392964741e-03,3.604448235382767818e-02,1.700293786813341507e-02,1.216457416824489636e-02,4.414102423231473782e-03,6.906737815083423271e-02,8.964291366488102986e-03,4.968327890337703723e-02,1.234490547649077022e-02,3.393863661663856085e-02,9.919912155343152751e-03,3.348580777149137017e-02,2.257373250369140716e-02,1.368649129747897576e-02,8.083784808294168511e-02,4.298660724402276166e-03,5.046008674398477778e-02,2.859744187742982446e-02
3.725607142875537320e-02,2.318325205429869282e-03,3.250485979176068879e-02,2.180091408197369629e-02,1.452647150505375663e-02,5.660332418243538451e-03,7.211359071582459923e-02,8.738046974650984233e-03,4.938628529856649990e-02,1.305863721859879326e-02,3.109352700615716086e-02,9.784262483446479197e-03,3.703347680134216197e-02,2.367570610481756557e-02,1.255821314703063109e-02,7.965763560234158380e-02,3.887911748484320501e-03,5.099727110973310135e-02,2.859343656069857076e-02
3.975938305697709896e-02,2.553749958407270336e-03,3.330076255447991795e-02,1.788988167614715893e-02,1.285600444604304525e-02,4.690887077515261058e-03,7.119378113709141920e-02,9.048490047927969931e-03,4.989057673220966688e-02,1.238572450071936774e-02,3.319616953545644761e-02,1.003424291938844089e-02,3.461740239760516258e-02,2.284155325656225810e-02,1.327338516535563583e-02,8.093793010911229380e-02,4.319725529314849717e-03,4.990562421664459375e-02,2.897631749550986027e-02
