5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
8.414721012589190113e-03,7.704225680097213924e-02,7.008780783946931547e-02,1.959972822161627423e-02,1.489861880867347950e-02,1.845897373697338861e-02,4.139074648866555156e-02,9.960850814764769801e-02,2.700924735998477821e-02,7.521752081813448849e-03,2.332291470914664780e-02,1.279966670011413281e-02,1.454456285027514416e-02,3.630792379140711235e-02,1.184937961172167174e-02,3.240140929357124971e-02,8.065148366806001654e-03,1.018031651112221991e-01,1.775423307279984722e-02
2.428320512567061495e-02,8.206108380719233375e-02,1.575470213218243057e-02,6.441256246963279752e-02,6.425525952817845964e-03,6.242368541399273378e-03,7.923620355217353417e-02,8.897579045812877008e-02,1.069324482381443439e-02,1.270781538841227361e-02,9.819973994110773804e-03,6.087641304104874501e-02,1.220441894001492028e-01,1.062700000680760933e-02,2.489008677730156910e-02,1.873444266174293660e-01,3.812195454468435968e-02,2.377753629513358613e-02,1.492540361678052450e-02
4.473505830025655688e-02,4.147841672071952979e-02,7.286805894264966610e-02,4.733532665190461758e-02,2.738227188496130532e-02,2.524768408223047964e-03,3.223673499396483011e-02,3.851747500879847130e-02,9.645874835425885183e-03,1.142508220270812141e-01,1.447352523172960176e-02,2.955575535712842705e-02,1.804954711024069416e-02,6.969796389530143188e-02,1.839274416662464717e-02,1.014926455635950936e-01,1.117065607406507108e-02,1.275493490077851851e-02,1.260311221917211760e-02
3.863478339782046300e-02,6.593548594568679304e-03,3.984355754816184397e-02,6.616721009408983029e-03,1.223248560783834170e-02,1.184659066752019076e-03,4.894174346432324935e-02,5.683229778817177995e-03,4.698053134660001851e-02,9.685050613056156790e-03,4.342828793623983163e-02,7.344791258590774481e-03,1.408131492606802537e-02,1.385738013164838564e-02,1.857038098908019366e-02,4.493117245031968965e-02,2.663847296252421035e-03,5.829021182717530891e-02,1.575475568500014217e-02
4.270730205044988292e-02,3.003530472262031046e-03,3.196640036559341563e-02,2.158085975602422324e-02,1.670261345948360551e-02,6.616774625178001128e-03,6.971072188970751926e-02,8.810975101867435030e-03,5.273316804296877131e-02,1.380324616405227169e-02,3.404913072804899299e-02,1.069278226511310645e-02,3.577389423821417808e-02,2.609012715451104400e-02,1.417156633091460997e-02,7.533270558852551979e-02,4.353885949450408965e-03,6.186379769998579664e-02,3.041956247713025613e-02
4.273630246549411926e-02,2.376080767892593294e-03,2.697665975744524200e-02,2.654233343167908266e-02,1.917557511031647149e-02,8.326534395157472734e-03,7.324102759380016203e-02,8.931873093456837651e-03,5.404842530328025918e-02,1.469083401932728961e-02,3.187272865918386322e-02,1.066874416639429675e-02,3.893319979492630006e-02,2.588892038044792246e-02,1.380582055002769690e-02,7.319472323964408556e-02,3.941863035860452939e-03,6.320477499365753649e-02,3.031405458153999324e-02
4.360931999062732378e-02,2.597676189449051216e-03,2.863430068255961095e-02,2.280984329750939191e-02,1.750834388169832112e-02,7.082318603923612281e-03,7.256382564108014577e-02,9.067446533016769450e-03,5.362422885276864337e-02,1.403966249565406083e-02,3.325066379117367493e-02,1.086007286637415657e-02,3.701877002391028293e-02,2.585231287187034904e-02,1.409271274478560328e-02,7.533390717910407042e-02,4.334949157521539483e-03,6.104928900522484103e-02,3.058369138558371739e-02
