5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
1.308908507412986054e-02,1.198391072101150923e-01,1.090214729754661604e-01,3.048734589521725005e-02,2.317477772370667502e-02,2.871290411920980612e-02,6.438323995071879025e-02,1.549408750808420054e-01,4.201284106200912222e-02,1.170007333078246746e-02,3.627875652062320655e-02,1.990986107651719975e-02,2.262404424679816117e-02,5.647691737607849621e-02,1.843169103068833387e-02,5.040034032391050439e-02,1.254532538282229076e-02,1.583546604769093813e-01,2.761668114345509212e-02
2.749396440590982926e-02,9.291131486264302131e-02,1.783781084112442267e-02,7.292928139709975444e-02,7.275117964113680599e-03,7.067743224075868566e-03,8.971292499686950306e-02,1.007402936796600451e-01,1.210712058182288053e-02,1.438806047874338807e-02,1.111838466395962018e-02,6.892557735472477909e-02,1.381810424921472713e-01,1.203211678263591683e-02,2.818108879670543770e-02,2.121153682311918975e-01,4.316249259152600548e-02,2.692143533670281891e-02,1.689886131834373792e-02
6.220410508967152974e-02,5.767574449844919959e-02,1.013230465852095197e-01,6.581977861180339506e-02,3.807505304885950431e-02,3.510690839790153554e-03,4.482518470979571235e-02,5.355855461626515823e-02,1.341259036519929469e-02,1.588657846884522773e-01,2.012543894521664697e-02,4.109728213384031964e-02,2.509789788873372646e-02,9.691502895961573438e-02,2.557511344567982986e-02,1.411255384556064640e-01,1.553279889986722631e-02,1.773573883942822227e-02,1.752462937851608296e-02
8.875062184472848337e-02,1.514649459544836416e-02,9.152738019763498323e-02,1.519972554553664611e-02,2.810008518032974106e-02,2.721361933510120599e-03,1.124274496869291234e-01,1.305533854720557045e-02,1.079222142563307785e-01,2.224819680378727071e-02,9.976211126398189244e-02,1.687222585946815054e-02,3.234715834204718310e-02,3.183274230267744975e-02,4.265930117178731024e-02,1.032144907897572239e-01,6.119307091938770878e-03,1.339024602222721738e-01,3.619133436462890208e-02
7.621091051972210539e-02,5.359781139872052402e-03,5.704383936550234263e-02,3.851090780359206489e-02,2.980570812697361932e-02,1.180759248835051151e-02,1.243983425112139135e-01,1.572312936758890611e-02,9.410200500131633838e-02,2.463180551765160528e-02,6.076045853058814616e-02,1.908120235389166100e-02,6.383828811077572885e-02,4.655766696926404158e-02,2.528907052695131968e-02,1.344307368803974723e-01,7.769481952165252850e-03,1.103955559017604227e-01,5.428351693242230297e-02
7.512483828588019386e-02,4.176839668949989919e-03,4.742144464668193032e-02,4.665795568989096476e-02,3.370815667463051418e-02,1.463696000427471694e-02,1.287481610819863342e-01,1.570106637741364164e-02,9.501007284834271649e-02,2.582456755302519474e-02,5.602809433933189642e-02,1.875425888472526462e-02,6.843948048400459727e-02,4.550934088290670837e-02,2.426882945856463983e-02,1.286667640748232477e-01,6.929280401672704981e-03,1.111057397660400875e-01,5.328814887685456858e-02
7.733337246872766524e-02,4.606516688519426972e-03,5.077783924495610918e-02,4.044920003473391479e-02,3.104793376748244543e-02,1.255923235347713822e-02,1.286790382712578173e-01,1.607950365263129816e-02,9.509303204247913921e-02,2.489684428340070699e-02,5.896413813258087611e-02,1.925840761088084760e-02,6.564620432532553007e-02,4.584447867859708925e-02,2.499091946449800636e-02,1.335912851807439239e-01,7.687261298815496573e-03,1.082600555708444767e-01,5.423473693004816215e-02
