feature,display_name,observed_adjusted_r2,null_mean,null_std,null_p95,spin_p,fdr_p
Xi_estimate_Power,XA,0.6428807640,0.4514342278,0.1088301145,0.6175294809,0.0262973703,0.0262973703
Xi_estimate_Width,XB,0.8832194865,0.7272673166,0.1155009053,0.8587134608,0.0082991701,0.0096823651
Xi_estimate_Exponent,XE,0.7191656923,0.4408464889,0.1931676497,0.6670178289,0.0057994201,0.0081191881
Alpha_estimate_Power,AA,0.4353184529,0.0292482487,0.0951825402,0.1872048773,0.0022997700,0.0040245975
Alpha_estimate_Width,AB,0.5603830444,0.1402100844,0.1040450042,0.3077010230,0.0004999500,0.0011665500
Alpha_estimate_Exponent,AE,0.5688704753,0.1537225658,0.1064208378,0.3285116603,0.0003999600,0.0011665500
Alpha_estimate_PAF,AF,0.5639133352,0.1484023743,0.1047516640,0.3180334267,0.0004999500,0.0011665500
