5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
1.356018986813050352e-02,3.668699658449196821e-02,4.786710723965566933e-02,2.067759971472581809e-02,1.843742677020793891e-02,2.387929942377221490e-02,7.197617843195146248e-02,6.657912847582278526e-02,3.935070935693654043e-02,1.168383398123444550e-02,3.320946559382295660e-02,4.717684719547396259e-03,2.870963110808597354e-02,2.659396827450335662e-02,1.314007682364365381e-02,3.506341566452916836e-02,1.659765247464817586e-02,4.836684679064127274e-02,1.490414374866612379e-02
5.847802141761460244e-03,2.372949442539503892e-02,1.499645845361433603e-02,1.144597210691008712e-02,1.127278441840357318e-02,6.856892910855401368e-03,5.125118074470851048e-02,5.123021166695609224e-02,5.828357209805479222e-02,5.667042052495074866e-03,1.424978116496335503e-02,1.794020964497469728e-02,2.172682632927871657e-02,7.996214465292243723e-02,1.151560275419359972e-02,8.575769837954405617e-02,1.834585763606578351e-02,2.420999388787423157e-02,4.848223772687609845e-02
4.921474719422952449e-02,8.066576899078384266e-02,3.100925606822122274e-02,2.294469941870224891e-02,5.038846050576539781e-02,2.442788280604167497e-03,1.218094225723053911e-02,9.176729194300085879e-02,2.689421801505696361e-02,1.217795084938825267e-01,1.107610613834346044e-02,2.074877293644974627e-02,1.237737419130312613e-02,1.742588540527316779e-02,1.417785874373496402e-02,4.231129105111539751e-02,3.839137530747784759e-04,3.893259677075645159e-02,2.956359214078953333e-03
2.131804790971156618e-02,1.271498593851748404e-02,6.509643126860652218e-02,6.550042367287723516e-03,2.541529261044111945e-03,1.133439695200992407e-02,-6.339606794038709801e-04,2.452897112729424470e-02,4.069800701782299961e-03,-9.682055404355779937e-04,1.937143481416689003e-02,2.575516754850807211e-03,-1.571211537457836357e-03,2.943405154552898584e-02,5.210476927214617929e-03,6.754918650501918337e-03,7.726081580495328983e-03,4.759217909887634296e-02,2.635120814332502642e-02
8.820614497096047543e-03,1.797267645128190067e-02,7.913834800499360000e-02,1.262509250783875984e-02,1.835478827262090884e-02,1.320438491788887732e-02,-5.294300268997706102e-04,2.956360367828474167e-02,8.743963753642369427e-03,1.574182279862691540e-03,1.753321133218924827e-02,2.114731394083805421e-03,-9.290462859693845608e-04,5.361977425611169634e-02,7.651574643875977237e-03,9.520012708463133216e-03,1.180004040409837404e-02,8.235057884871965772e-02,2.797856578279077008e-02
6.991776896795239525e-03,1.794301123433915401e-02,7.744123060512571322e-02,1.574040424060388701e-02,3.058114290731530835e-02,1.104571321550339852e-02,3.352596149301418239e-04,2.044299767296095180e-02,9.642472033038626544e-03,3.723537158969381349e-03,1.903850828957318053e-02,3.155489167367461073e-03,2.573147850437808738e-04,6.550678337453119671e-02,6.169295925909763778e-03,9.980904776683733465e-03,1.482318705755211914e-02,8.668120703121966197e-02,2.845366299083510603e-02
7.724061297922455750e-03,1.752647647862803221e-02,7.837184301147664955e-02,1.505496850425423749e-02,2.468256622857345831e-02,1.160231433395982580e-02,-2.443089091526728430e-04,2.385767096671482720e-02,9.772094933825024518e-03,2.734104796075245442e-03,1.831174658245385278e-02,2.567825082496701886e-03,1.208953739438560238e-04,5.875758032027296462e-02,7.014531234499645461e-03,1.022602649899435716e-02,1.290945410566054358e-02,8.810455872645692188e-02,2.761144064500957451e-02
