Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
7.909857415941363712e-01,8.604393693457471626e-01,8.571727978512900803e-01,6.358382930372685760e-01,6.892432729373590972e-01,7.058638757806984243e-01,6.991221841522138325e-01
7.789143003808689514e-01,8.391972524333347616e-01,8.789182181531214333e-01,7.260749648630023811e-01,7.709448805599224963e-01,7.812084794090219386e-01,7.796060018414335824e-01
7.789143003808687293e-01,8.391972524333346506e-01,8.789182181531213223e-01,7.260749648630022701e-01,7.709448805599224963e-01,7.812084794090218276e-01,7.796060018414336934e-01
7.948132997067085537e-01,8.383176242220730101e-01,8.811192347192451368e-01,7.250063311942657185e-01,7.709585077194469616e-01,7.811655257095795335e-01,7.795662722202202355e-01
7.719388221140900397e-01,8.367823364542071873e-01,8.859511651268139332e-01,7.311123027247403705e-01,7.704634266955179278e-01,7.773204522591272703e-01,7.767389172818656151e-01
7.948132997067084426e-01,8.383176242220731211e-01,8.811192347192451368e-01,7.250063311942657185e-01,7.709585077194468505e-01,7.811655257095795335e-01,7.795662722202202355e-01
7.726076247415308851e-01,8.396829062037411973e-01,8.763354480616546427e-01,6.768080415936280625e-01,7.138928193581922654e-01,7.301810682697613686e-01,7.250425987735265032e-01
7.691368146251763571e-01,8.366740248706406868e-01,8.870473989031932849e-01,7.095391119534425473e-01,7.686391635280687140e-01,7.771988991197601448e-01,7.761082669734213901e-01
8.119400433401074979e-01,8.451924873467883126e-01,8.824845294113832228e-01,7.074619181254121481e-01,7.659325093773674542e-01,7.739380963370322553e-01,7.731429430842491346e-01
8.463841260917872589e-01,8.260615433782209083e-01,8.426519841002895195e-01,6.630682951871290642e-01,7.240368803368788519e-01,7.293589420600232742e-01,7.284872382837419558e-01
8.459961234361781379e-01,8.239924201226550560e-01,8.419521632202079386e-01,6.546644968391823749e-01,7.108203864528803706e-01,7.138548660552804792e-01,7.136776139689339216e-01
8.412446488243356946e-01,8.219228178657065342e-01,8.444939827817105060e-01,6.534979030619212370e-01,7.109737775912078339e-01,7.141837448684194012e-01,7.138756832929383789e-01
8.534661526465515680e-01,8.149587942827756226e-01,8.442345150564449785e-01,6.549009973593676870e-01,7.083656283864253611e-01,7.099330014259100929e-01,7.100181660854365528e-01
8.242299012466717256e-01,8.332284946269993275e-01,8.459166601910113048e-01,6.498299148109181189e-01,6.920717475622819581e-01,7.035832884783544960e-01,6.995989844077517006e-01
8.504951500832730327e-01,8.314185979568965434e-01,8.856218130353158413e-01,6.489100352862752219e-01,6.992042089612966471e-01,7.294812380359134707e-01,7.225774686668916535e-01
7.909094409954934290e-01,8.479252746928302997e-01,8.681318532519307629e-01,6.704898333098074925e-01,7.163041709343704877e-01,7.358354609461580376e-01,7.289285524549121709e-01
8.509690883092068114e-01,8.387666956707228172e-01,8.397729778518682187e-01,6.617316804362423088e-01,7.106211897208771777e-01,7.207321488347848693e-01,7.185218502284130837e-01
7.649949980507776415e-01,8.413371694477661533e-01,8.850051803916058057e-01,7.212850020160126441e-01,7.689375730418230859e-01,7.741392977149520460e-01,7.751206507993836370e-01
8.272650075584990770e-01,8.296250809422007766e-01,8.807184935964741390e-01,6.574807602838731446e-01,6.934031637846959084e-01,7.046518332960552966e-01,7.004501005136020142e-01
7.713889178009611935e-01,8.343478728721031024e-01,8.834698339501294573e-01,7.304424099881843269e-01,7.879405215994768064e-01,7.941704249828613893e-01,7.946557759504265794e-01
8.070167784490454022e-01,8.372420364812068749e-01,8.868623439814634635e-01,6.824545918364813835e-01,7.117681569152901622e-01,7.205348865367858791e-01,7.206287972036480305e-01
8.482732399454309125e-01,8.078264031913211518e-01,8.476216392855202564e-01,5.930915972747615728e-01,7.143557510045343006e-01,7.195556407053150805e-01,7.198287433477521535e-01
8.737012218657633777e-01,8.067435178803656903e-01,8.403835008911851867e-01,5.641718639231476651e-01,6.752891886701211099e-01,6.779413956422111198e-01,6.796744515830827060e-01
8.361603103546284554e-01,8.499155374397593388e-01,8.490967607380889293e-01,6.639191880860142447e-01,7.230254766525000543e-01,7.356664107838891686e-01,7.330372637052986473e-01
8.310546658913099405e-01,8.424486673444838702e-01,8.501601063419345072e-01,6.672146648674629477e-01,7.293985013644845861e-01,7.362812724207556947e-01,7.356370328650859713e-01
8.281718091960764694e-01,8.246231304928647310e-01,8.422012566321169791e-01,6.276251454553228859e-01,7.063994248400943254e-01,7.139783562963886165e-01,7.109609363245414926e-01
8.238018319710711523e-01,7.996789795450064409e-01,8.335495963832945110e-01,6.386194735945573964e-01,7.168248438614412965e-01,7.232584834722577405e-01,7.214514521436738992e-01
8.378718257007722325e-01,8.288380649289776025e-01,8.396643248242786628e-01,6.228246621475508338e-01,7.200955437894051014e-01,7.352706571159219884e-01,7.289899001536989109e-01
7.865433974717499499e-01,8.369994257470041443e-01,8.832651752611215823e-01,7.086691458509404296e-01,7.298228129968772349e-01,7.454055758850062219e-01,7.418592468044767907e-01
8.325433936365594922e-01,8.114074685706605949e-01,8.406198182544464270e-01,6.381980769732900072e-01,7.057071060032805709e-01,7.257368624504291210e-01,7.184643456525229288e-01
8.188944767774057887e-01,8.369831823033427876e-01,8.344913808568887870e-01,6.192791930585439530e-01,7.083576187215845366e-01,7.205741597194431636e-01,7.144867801623235870e-01
8.157909750570941920e-01,8.420009787811353341e-01,8.450659087271156222e-01,6.989556893805015658e-01,7.473356461154087027e-01,7.564446918143576948e-01,7.526364864709438329e-01
8.332557103971848234e-01,8.387693762036052547e-01,8.501652812277840088e-01,6.671126630330236340e-01,7.115741802384448755e-01,7.223144714398425092e-01,7.187546371244372123e-01
7.991163600878617990e-01,8.431203001231680760e-01,8.800141674023449490e-01,6.615682897156468512e-01,7.048193384993302057e-01,7.163216832019599911e-01,7.139873426374055976e-01
8.252909927810586632e-01,8.151878479350810336e-01,8.321326764273985210e-01,6.309033604396170336e-01,7.032841260455258148e-01,7.079618414457657938e-01,7.064181975710633887e-01
7.649949980507777525e-01,8.413371694477659313e-01,8.850051803916058057e-01,7.212850020160127551e-01,7.689375730418233079e-01,7.741392977149520460e-01,7.751206507993837480e-01
7.698725798573051726e-01,8.282097472697826923e-01,8.818498836772460381e-01,7.009551242915652569e-01,7.560650167643356845e-01,7.698749745153199431e-01,7.687087833293898553e-01
8.200066510667234354e-01,8.423496134645405142e-01,8.507983509192076355e-01,7.040255459773446800e-01,7.457722084609256230e-01,7.520891482690303942e-01,7.505965372093672539e-01
