feature,display_name,observed_adjusted_r2,null_mean,null_std,null_p95,spin_p,fdr_p
Xi_estimate_Power,XA,0.5720013550,0.4846246600,0.1468442158,0.7319002964,0.2658734127,0.3101856481
Xi_estimate_Width,XB,0.5627717632,0.4883391624,0.1214820061,0.6407052140,0.3150684932,0.3150684932
Xi_estimate_Exponent,XE,0.6496778394,0.4750455280,0.1954098681,0.7180232142,0.1990800920,0.2787121288
Alpha_estimate_Power,AA,0.2899966953,0.0347829875,0.1174926214,0.2638083128,0.0358964104,0.0628187181
Alpha_estimate_Width,AB,0.4011076674,0.0771327196,0.0897479482,0.2351109940,0.0005999400,0.0013998600
Alpha_estimate_Exponent,AE,0.4279538990,0.0834909339,0.0826701295,0.2274476850,0.0000999900,0.0003499650
Alpha_estimate_PAF,AF,0.4167058502,0.0775574752,0.0846784180,0.2251384949,0.0000999900,0.0003499650
