Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
7.382706137593826254e-03,6.240552355697724929e-01,9.120666640162106154e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.268190762327892615e-02,7.454411829956241187e-01,9.051425295466839493e-01,1.947818668485008786e-02,6.635056331686976783e-02,6.498875919497323905e-02,6.660509528218877540e-02
6.946792368578674770e-03,8.441785940420962753e-01,8.687891485906540368e-01,4.580473551890613232e-04,2.452374404678613756e-03,1.858038893030558580e-03,2.355639480888194366e-03
1.412424207398100540e-01,6.392327727623732248e-01,8.987393144556740099e-01,8.908812187037732366e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.853532612669541432e-02,8.913684402298590603e-01,8.742705438837962140e-01,2.872112590530434550e-02,8.961020129240737653e-02,9.516611589309320607e-02,9.113931817848154593e-02
7.365105984816561896e-03,7.435944634481888027e-01,8.497158069236157019e-01,1.128235415962249456e-03,5.785917609283381356e-03,6.260548754563124985e-03,6.163884851609569004e-03
1.329539528573588369e-01,5.686302740318625037e-01,8.995643094439419452e-01,1.663363743762130975e-01,3.944665380909883057e-01,4.367782279032633719e-01,4.289619281507215942e-01
7.326307272012914928e-02,6.372012120361457699e-01,8.909711502910034886e-01,1.712752291633719837e-01,3.377124463362400353e-01,3.575750864447256872e-01,3.469406437757990291e-01
1.553088354066406267e-02,6.619240813917882660e-01,8.500376749839552160e-01,2.247001509609719214e-02,9.389010734878011633e-02,1.156126582475787840e-01,1.059923798181140464e-01
5.879225119370161401e-02,2.792950410477793577e-01,9.438701351780501847e-01,3.623223904575565563e-02,6.559033761612352575e-02,7.177402395309138983e-02,7.268764425892895731e-02
8.035738433101714817e-03,2.927938630548221344e-01,9.408825854494001772e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.238175077948911684e-02,3.250636194731487683e-01,9.165685550027031780e-01,2.705913528931899389e-02,7.956845618155507227e-02,9.645014053573514046e-02,8.551631832036402092e-02
3.486341807637147877e-02,2.962256346237363003e-01,9.456624890527910443e-01,1.471054954785487286e-03,6.736840291942865731e-03,7.426432314177161889e-03,7.811315240812926990e-03
4.982181111159433157e-02,4.222500685148052324e-01,9.306330024557396552e-01,1.084344466047748590e-02,3.422730753332204473e-02,3.483555111547190219e-02,3.817930049093480604e-02
3.537039567347720348e-02,4.461260210017358729e-01,8.409778241816767697e-01,2.134347570876120315e-02,6.205293844456121616e-02,6.668421095896652495e-02,6.276349742539445720e-02
8.322501609741500550e-02,5.323415219426502754e-01,9.237089384200545261e-01,6.666094336877649573e-02,1.653151430918512466e-01,1.732804939955744916e-01,1.774578902249506207e-01
4.005569998603851489e-02,1.973064190549762287e-01,1.000000000000000000e+00,1.701259052755826505e-03,8.439139219530706129e-03,8.892974401567348489e-03,9.473332789794911002e-03
2.224987080813298559e-02,5.083230445027770994e-01,8.706892518222694166e-01,9.159845622344398031e-03,3.195225803570213990e-02,3.877585598159837693e-02,3.644213814774149157e-02
1.334587197768118301e-02,4.240075246829156375e-01,8.934169129733510184e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.016379710687097954e-02,7.174941901471826311e-01,8.437902777237031859e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.113782280184263646e-02,4.177356131458422328e-01,8.577791456779120249e-01,3.663429055978556265e-04,1.858021713371751493e-03,2.181618474157462177e-03,2.038081100951893727e-03
4.863791907733736042e-02,2.074745095940647155e-01,9.278748486526700034e-01,2.303981280273777535e-02,6.933744479359504886e-02,6.690308572390905872e-02,6.682150234547379331e-02
3.498473417274850644e-02,3.273662413993641551e-01,9.391355446028060161e-01,1.551527428102110646e-03,6.129237653491994946e-03,6.575338591228187084e-03,6.247796769522502916e-03
3.453761946794022680e-02,4.305951654242594073e-01,9.577278886494570154e-01,1.546858705821855520e-03,6.752982515464776153e-03,9.712064382964909204e-03,8.665029567700809413e-03
3.674550029653519956e-02,4.057874710510138150e-01,9.040831932945812000e-01,8.771891260382727942e-03,2.699193140123688772e-02,2.411429217602786140e-02,2.552349240477872622e-02
5.592984473366021531e-02,4.308232628688011268e-01,9.197211225501380483e-01,1.542550057519514843e-02,4.268799159316628844e-02,3.855059215327964056e-02,3.966614065815819018e-02
2.123297303639304912e-01,3.763655103539605418e-01,9.330837077362629239e-01,5.435245821993571480e-02,1.579773921358184896e-01,1.646254435539469818e-01,1.615126121962027761e-01
4.309956733869191314e-02,5.039873395743705853e-01,9.136736232999289609e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.030387624416382278e-03,3.802893470654072905e-01,8.014436593472018533e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999548024825619719e-02,3.557701047893041535e-01,9.387027507705077989e-01,8.221242483197624407e-03,3.146310872645774470e-02,3.514873317986207113e-02,3.243673279920260277e-02
6.512593685817441580e-02,5.095726401113411796e-01,9.505927392696119638e-01,3.029789062722584685e-03,1.419429594197489132e-02,1.398286392986757519e-02,1.415660213795766689e-02
1.954035038753419024e-02,6.370065401153586215e-01,9.227572898060898421e-01,3.765595975924775074e-03,1.456594560153510499e-02,1.148938348886202956e-02,1.282969923692105739e-02
3.619201558449657019e-02,4.448126231702276279e-01,9.429722978267559563e-01,5.153717045162250175e-03,1.923097603849204321e-02,2.152425476285705491e-02,2.130958376040739677e-02
1.865977854196388536e-02,3.924278747021574532e-01,8.945876663115884808e-01,6.771731426860501390e-04,3.565298421856136126e-03,3.650024755965870608e-03,3.652264743055152248e-03
