feature,display_name,observed_adjusted_r2,null_mean,null_std,null_p95,spin_p,fdr_p
Xi_estimate_Power,XA,0.5232550174,0.4293727008,0.1428886322,0.6692024013,0.2487751225,0.2487751225
Xi_estimate_Width,XB,0.7271190978,0.5463940979,0.2058719927,0.7661063013,0.1530846915,0.1785988068
Xi_estimate_Exponent,XE,0.7025743220,0.5106751619,0.2027954857,0.7350557550,0.1273872613,0.1783421658
Alpha_estimate_Power,AA,0.3957008470,0.0160197736,0.0960875546,0.1738236626,0.0024997500,0.0043745625
Alpha_estimate_Width,AB,0.5397680985,0.1059859515,0.1001785662,0.2736311712,0.0001999800,0.0004666200
Alpha_estimate_Exponent,AE,0.5546480717,0.1297842863,0.1050385953,0.3035722137,0.0001999800,0.0004666200
Alpha_estimate_PAF,AF,0.5488275771,0.1191017457,0.1029846096,0.2895005901,0.0001999800,0.0004666200
