5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
6.304637561603207603e-03,4.180041403395121785e-02,4.645139295477748037e-02,1.423170222519125859e-02,2.030277461667182731e-02,1.871489049635603752e-02,6.762213928447072253e-02,6.797805291192700328e-02,3.569504222337151894e-02,8.177567373617347299e-03,1.177134438042641389e-02,8.748186838090700815e-03,1.473708597672342829e-02,4.730642858587651156e-02,1.058498413345023391e-02,2.578229529615583618e-02,6.538464646435516135e-03,5.546868528188281244e-02,1.503892859300685024e-02
5.917175776127223813e-02,1.382803929361126061e-02,2.287096481177340601e-02,2.909926122988322483e-02,1.368988978258577245e-02,8.869375488350057096e-03,4.165499209016469001e-02,6.830334935266672847e-02,1.453323215669894732e-02,7.213006607283851956e-02,1.155378797600695694e-02,2.355431875725874299e-02,2.497285338694354290e-02,2.224100885255210144e-02,2.823804663748220173e-02,7.246674976468173157e-02,8.671402023523729075e-02,2.243105047619639927e-02,9.079633368336556543e-02
7.309972405095169212e-02,2.978610753182562784e-02,2.865734078238646454e-02,2.815785691930745849e-02,2.487477879204660555e-02,1.185278254071244798e-02,3.291431466696690539e-02,7.043998761134390163e-02,1.360333130387007816e-02,9.296091905607610506e-02,1.541465736430100951e-02,1.659790141244546491e-02,1.239131791188811255e-02,2.048375372096122166e-02,1.853387345666694316e-02,5.665143452471182312e-02,5.716773997136517793e-02,5.099167755472225338e-02,4.799482284871518095e-02
2.451153588108488657e-02,8.059884614147574608e-03,5.307438243883785822e-02,7.690161561705564919e-03,1.257301782284058790e-02,1.285221899073687047e-03,3.187975139563239274e-02,2.865803440977721019e-03,3.502514709564532452e-02,6.724670398997878440e-03,3.813771015541621984e-02,4.918797720146083317e-03,1.110935589655431127e-02,2.343966396806226524e-02,1.609335165985709831e-02,3.662253016926182714e-02,2.757113389614805534e-03,5.947152161334204323e-02,1.946122592135962961e-02
2.316768162024839331e-02,1.160573191663654379e-02,5.300991607598035810e-02,2.357177468078762439e-02,2.586649462603865871e-02,1.104535575045183238e-02,3.920484997816466727e-02,5.937896543439745260e-03,3.081690709472667891e-02,1.028598245232434372e-02,2.460048043128734707e-02,8.875936317316418869e-03,2.669766178785393240e-02,5.050178859668779524e-02,1.193776221334545522e-02,4.932526462632633862e-02,5.786078453746710398e-03,8.285051982035057661e-02,4.468001549142533446e-02
2.875042654639561879e-02,7.589558254353369685e-03,4.292766228216215313e-02,2.769810356856042960e-02,2.263430743519390109e-02,1.105543070470456357e-02,5.252505793878342599e-02,6.362794126268348817e-03,3.581127545489513897e-02,1.188676143608479591e-02,2.462187708422332311e-02,8.805409559321259599e-03,3.301567277792719080e-02,4.597349484665816388e-02,1.172729436472058281e-02,5.926875505458051308e-02,5.582265874641867062e-03,7.359448077931038390e-02,4.481744365503943089e-02
2.692318746928317255e-02,8.998297573667156032e-03,4.694528129645791220e-02,2.472648429824480729e-02,2.408546827879606833e-02,1.062453313312776079e-02,4.791361962794430523e-02,6.076758268173929924e-03,3.388784780672546293e-02,1.110978136749081815e-02,2.502490850879440093e-02,9.322175378757150896e-03,3.025993523889194611e-02,4.739651930522499612e-02,1.208042793166144019e-02,5.628756348853989483e-02,5.615007595119517886e-03,7.695172086180651627e-02,4.459805965707103192e-02
