Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
7.473280524009799919e-01,9.062166857036797474e-01,8.971725728920150189e-01,7.698992820739383180e-01,8.200857664006766523e-01,8.261431486540895541e-01,8.252352191730946140e-01
8.267979138021720464e-01,9.018608210374433609e-01,8.965906453268764897e-01,7.494795121162608487e-01,8.272336359283813945e-01,8.295919851035233883e-01,8.285158451317681250e-01
8.267979138021719354e-01,9.018608210374431389e-01,8.965906453268764897e-01,7.494795121162607376e-01,8.272336359283811724e-01,8.295919851035233883e-01,8.285158451317682360e-01
8.295293564180051815e-01,9.012821379960391788e-01,9.000233874777104903e-01,7.488658690076592794e-01,8.272660287119644185e-01,8.296344418398207132e-01,8.285488553170414772e-01
8.589162900119313715e-01,9.116172142203413653e-01,9.111812150739176941e-01,7.521373553251987643e-01,8.251625594406876152e-01,8.271838629143232202e-01,8.264275522876605162e-01
8.295293564180051815e-01,9.012821379960394008e-01,9.000233874777102683e-01,7.488658690076591684e-01,8.272660287119644185e-01,8.296344418398207132e-01,8.285488553170414772e-01
7.351723041394522262e-01,9.024933649669105717e-01,8.963515683626845920e-01,7.539348159433789665e-01,8.174805937588824900e-01,8.225638783321413960e-01,8.213848716968505936e-01
8.401997281924385996e-01,9.027392065963938395e-01,9.076912112911702524e-01,7.476704848618118682e-01,8.337386020152467436e-01,8.356880537541843124e-01,8.343386037444108227e-01
8.503786194392705111e-01,8.975286630306522628e-01,9.076019902678488238e-01,7.408322090601556775e-01,8.239864923323930723e-01,8.257306821304855049e-01,8.246736503929648077e-01
8.120340663352999533e-01,9.127711341083922791e-01,8.847950777825563939e-01,7.590925612552164026e-01,8.079537823713280886e-01,8.139053436016213672e-01,8.119969792270855802e-01
8.192027491098684555e-01,9.086407412580499443e-01,8.805702941156279273e-01,7.183551548062673264e-01,7.802327943756972584e-01,7.886104131872077039e-01,7.849885224550644525e-01
8.159091276816973215e-01,9.085661499601980218e-01,8.793754436071634650e-01,7.188865178107060050e-01,7.771365686035581755e-01,7.860402870870002445e-01,7.823098547518545498e-01
8.171808200164889513e-01,9.046110403797709143e-01,8.819742475261270753e-01,7.182328366399006736e-01,7.796906906731264630e-01,7.878605595045650167e-01,7.843914567128821291e-01
7.792853920438366222e-01,9.022173090540789309e-01,8.847397909965265539e-01,7.256105647139396986e-01,7.989717143770392882e-01,8.063084517312391064e-01,8.030282392195331465e-01
8.443486275726425072e-01,8.858731559402902578e-01,8.878000623627172461e-01,7.141526198657311975e-01,8.286228732941393060e-01,8.369331266539122849e-01,8.329320572257511435e-01
7.338231056938960828e-01,9.051953213679163612e-01,8.965620362719022296e-01,7.749852506201778679e-01,8.326582574645884360e-01,8.372313130321205055e-01,8.364322603183754756e-01
8.223230262548416603e-01,9.094843370406948679e-01,8.794015912845447591e-01,7.293545328803615613e-01,8.003623651337961054e-01,8.082416824497401509e-01,8.046152261816374995e-01
