5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.194461311943733062e-02,2.036863118789515939e-02,1.341275431566859577e-01,1.943428127379895690e-02,3.177404829130515973e-02,3.247963477155410214e-03,8.056528469397922221e-02,7.242348512510267747e-03,8.851420803726092745e-02,1.699432904745497644e-02,9.638015799171260889e-02,1.243059689386276367e-02,2.807513802304167569e-02,5.923581954208281125e-02,4.067050091031584880e-02,9.255105325898647928e-02,6.967671184485175334e-03,1.502941478589907009e-01,4.918166353903854343e-02
4.292154665237155053e-02,2.150132982919902846e-02,9.820868670367617626e-02,4.367018863710408344e-02,4.792149572940017366e-02,2.046315034477652617e-02,7.263276597630406728e-02,1.100082898598950254e-02,5.709286484635010123e-02,1.905629932807152357e-02,4.557601773927228567e-02,1.644398092876981840e-02,4.946135546575781278e-02,9.356201068416186706e-02,2.211646491711118448e-02,9.138232653150295259e-02,1.071956358679054463e-02,1.534928056217083059e-01,8.277631749168240516e-02
5.183543946344879721e-02,1.368355654873485566e-02,7.739621657242354291e-02,4.993815895091286566e-02,4.080841273644239542e-02,1.993233415550525744e-02,9.469979364328015570e-02,1.147176822640633836e-02,6.456576210984342479e-02,2.143117778939099966e-02,4.439189161302167091e-02,1.587566965055314805e-02,5.952544407866643128e-02,8.288768534273741051e-02,2.114366742112658640e-02,1.068583090323173418e-01,1.006451867233778240e-02,1.326868054330881952e-01,8.080338855976278156e-02
4.905582116015873989e-02,1.639549095081419341e-02,8.553739508814926784e-02,4.505328327257181187e-02,4.388530985758331421e-02,1.935859926999844438e-02,8.730177131834560011e-02,1.107225387696612016e-02,6.174589109874303872e-02,2.024275351920669028e-02,4.559703184317789870e-02,1.698561764745315505e-02,5.513559540788620650e-02,8.635958046586500458e-02,2.201133550141076006e-02,1.025596486740361218e-01,1.023091373238689886e-02,1.402111046795657956e-01,8.126060263568105069e-02
